word|speaker_id|id|start_time|end_time|duration|pause_before|pause_after|pos|punctuation_before|punctuation_after|f0_mean_hz|i0_mean_db|f0_mean|i0_mean
to|Peter|heroes_s3_2_eng_aligned.segment1.word1|0.0|0.23|0.23|2.35|0.03|NA|||395.0|73.0|16.4243|2.6984
stop|Peter|heroes_s3_2_eng_aligned.segment1.word2|0.26|0.47|0.21|0.03|0.0|NA|||0.0|69.0|0.0|1.7228
nathan|Peter|heroes_s3_2_eng_aligned.segment1.word3|0.47|0.77|0.3|0.0|0.0|NA|||43.0|70.0|-21.969|1.9719
from|Peter|heroes_s3_2_eng_aligned.segment1.word4|0.77|0.91|0.14|0.0|0.0|NA|||43.0|67.0|-21.969|1.2136
telling|Peter|heroes_s3_2_eng_aligned.segment1.word5|0.91|1.15|0.24|0.0|0.0|NA|||94.0|69.0|-8.4292|1.7228
the|Peter|heroes_s3_2_eng_aligned.segment1.word6|1.15|1.23|0.08|0.0|0.0|NA|||41.0|73.0|-22.7936|2.6984
world|Peter|heroes_s3_2_eng_aligned.segment1.word7|1.23|1.51|0.28|0.0|0.0|NA|||37.0|71.0|-24.5708|2.2174
about|Peter|heroes_s3_2_eng_aligned.segment1.word8|1.51|1.78|0.27|0.0|0.0|NA|||0.0|66.0|0.0|0.9532
us|Peter|heroes_s3_2_eng_aligned.segment1.word9|1.78|2.01|0.23|0.0|1.63|NA||.|43.0|66.0|-21.969|0.9532
